seq,virtual_time_s,channel,action,result,x_m,y_m,svd_deg
195,1730.955,12,measure,direction,158.59,1204.61,221.02
197,1736.955,20,measure,direction,158.59,1204.61,229.94
199,1742.955,1,measure,no_signal,158.59,1204.61,
201,1748.955,2,measure,no_signal,158.59,1204.61,
203,1754.955,3,measure,no_signal,158.59,1204.61,
205,1760.955,6,measure,no_signal,158.59,1204.61,
207,1766.955,8,measure,no_signal,158.59,1204.61,
209,1772.955,9,measure,no_signal,158.59,1204.61,
211,1778.955,10,measure,no_signal,158.59,1204.61,
213,1784.955,14,measure,no_signal,158.59,1204.61,
215,1790.955,17,measure,no_signal,158.59,1204.61,
217,1796.955,18,measure,no_signal,158.59,1204.61,
219,1802.955,19,measure,no_signal,158.59,1204.61,
221,1934.518,15,clear,success,-214.53,693.49,
223,2109.801,7,measure,direction,-969.66,1075.85,289.94
225,2115.801,12,measure,direction,-969.66,1075.85,286.3
227,2121.801,20,measure,direction,-969.66,1075.85,291.89
229,2127.801,1,measure,no_signal,-969.66,1075.85,
231,2133.801,2,measure,no_signal,-969.66,1075.85,
233,2139.801,3,measure,no_signal,-969.66,1075.85,
235,2145.801,6,measure,no_signal,-969.66,1075.85,
237,2151.801,8,measure,no_signal,-969.66,1075.85,
239,2157.801,9,measure,no_signal,-969.66,1075.85,
241,2163.801,10,measure,no_signal,-969.66,1075.85,
243,2169.801,14,measure,no_signal,-969.66,1075.85,
245,2175.801,17,measure,no_signal,-969.66,1075.85,
247,2181.801,18,measure,no_signal,-969.66,1075.85,
249,2187.801,19,measure,no_signal,-969.66,1075.85,
251,2253.436,7,clear,success,-857.15,794.32,
253,2283.427,12,measure,direction,-963.92,739.65,298.1
255,2289.427,20,measure,direction,-963.92,739.65,303.48
257,2295.427,1,measure,no_signal,-963.92,739.65,
259,2301.427,2,measure,no_signal,-963.92,739.65,
261,2307.427,3,measure,no_signal,-963.92,739.65,
263,2313.427,6,measure,direction,-963.92,739.65,233.87
265,2319.427,8,measure,no_signal,-963.92,739.65,
267,2325.427,9,measure,no_signal,-963.92,739.65,
269,2331.427,10,measure,no_signal,-963.92,739.65,
271,2337.427,14,measure,no_signal,-963.92,739.65,
273,2343.427,17,measure,no_signal,-963.92,739.65,
275,2349.427,18,measure,no_signal,-963.92,739.65,
277,2355.427,19,measure,no_signal,-963.92,739.65,
280,2440.798,12,clear,success,-765.96,389.93,
282,2482.593,20,clear,success,-638.33,257.44,
284,2613.036,4,measure,direction,-983.65,-260.16,236.87
286,2619.036,6,measure,direction,-983.65,-260.16,182.54
288,2625.036,16,measure,direction,-983.65,-260.16,297.37
290,2631.036,1,measure,no_signal,-983.65,-260.16,
292,2637.036,2,measure,no_signal,-983.65,-260.16,
294,2643.036,3,measure,no_signal,-983.65,-260.16,
296,2649.036,8,measure,no_signal,-983.65,-260.16,
298,2655.036,9,measure,no_signal,-983.65,-260.16,
300,2661.036,10,measure,no_signal,-983.65,-260.16,
302,2667.036,14,measure,no_signal,-983.65,-260.16,
304,2673.036,17,measure,no_signal,-983.65,-260.16,
306,2679.036,18,measure,no_signal,-983.65,-260.16,
308,2685.036,19,measure,no_signal,-983.65,-260.16,
310,2836.467,6,clear,success,-1715.29,-287.46,
312,2930.582,4,measure,direction,-1642.88,-722.05,327.79
314,2995.713,4,clear,success,-1382.5,-872.37,
316,3098.372,16,measure,direction,-1122.51,-464.96,306.35
318,3374.495,16,clear,success,-313.22,-1552.5,
320,3491.428,11,clear,success,166.15,-1263.67,
