seq,virtual_time_s,x_m,y_m,action,channel,result
205,1709.807,-471.58,1490.68,measure,16,no_signal
207,1715.807,-471.58,1490.68,measure,18,no_signal
209,1721.807,-471.58,1490.68,measure,20,no_signal
211,1786.772,-226.28,1318.29,clear,7,success
213,1855.053,48.74,1161.82,clear,3,success
215,1884.631,158.59,1204.61,measure,9,direction
217,1890.631,158.59,1204.61,measure,2,no_signal
219,1896.631,158.59,1204.61,measure,4,no_signal
221,1902.631,158.59,1204.61,measure,6,no_signal
223,1908.631,158.59,1204.61,measure,10,no_signal
225,1914.631,158.59,1204.61,measure,11,no_signal
227,1920.631,158.59,1204.61,measure,12,no_signal
229,1926.631,158.59,1204.61,measure,13,no_signal
231,1932.631,158.59,1204.61,measure,14,no_signal
233,1938.631,158.59,1204.61,measure,15,no_signal
235,1944.631,158.59,1204.61,measure,16,no_signal
237,1950.631,158.59,1204.61,measure,18,no_signal
239,1956.631,158.59,1204.61,measure,20,no_signal
241,2215.113,1205.66,499.4,measure,2,no_signal
243,2221.113,1205.66,499.4,measure,4,no_signal
245,2227.113,1205.66,499.4,measure,6,no_signal
247,2233.113,1205.66,499.4,measure,10,no_signal
249,2239.113,1205.66,499.4,measure,11,no_signal
251,2245.113,1205.66,499.4,measure,12,no_signal
253,2251.113,1205.66,499.4,measure,13,no_signal
255,2257.113,1205.66,499.4,measure,14,no_signal
257,2263.113,1205.66,499.4,measure,15,no_signal
259,2269.113,1205.66,499.4,measure,16,no_signal
261,2275.113,1205.66,499.4,measure,18,direction
263,2281.113,1205.66,499.4,measure,20,no_signal
265,2287.113,1205.66,499.4,measure,5,no_signal
268,2493.113,1928.99,-191.1,measure,18,direction
270,2499.113,1928.99,-191.1,measure,2,no_signal
272,2505.113,1928.99,-191.1,measure,4,no_signal
274,2511.113,1928.99,-191.1,measure,6,no_signal
276,2517.113,1928.99,-191.1,measure,10,no_signal
278,2523.113,1928.99,-191.1,measure,11,no_signal
280,2529.113,1928.99,-191.1,measure,12,no_signal
282,2535.113,1928.99,-191.1,measure,13,no_signal
284,2541.113,1928.99,-191.1,measure,14,no_signal
286,2547.113,1928.99,-191.1,measure,15,no_signal
288,2553.113,1928.99,-191.1,measure,16,no_signal
290,2559.113,1928.99,-191.1,measure,20,no_signal
292,2686.758,1412.23,-521.25,clear,18,success
294,2785.856,1035.33,-794.43,measure,5,direction
296,2791.856,1035.33,-794.43,measure,2,no_signal
298,2797.856,1035.33,-794.43,measure,4,no_signal
300,2803.856,1035.33,-794.43,measure,6,no_signal
302,2809.856,1035.33,-794.43,measure,10,no_signal
304,2815.856,1035.33,-794.43,measure,11,no_signal
306,2821.856,1035.33,-794.43,measure,12,no_signal
308,2827.856,1035.33,-794.43,measure,13,no_signal
310,2833.856,1035.33,-794.43,measure,14,no_signal
312,2839.856,1035.33,-794.43,measure,15,no_signal
314,2845.856,1035.33,-794.43,measure,16,no_signal
316,2851.856,1035.33,-794.43,measure,20,no_signal
318,2970.761,594.49,-1155.03,clear,5,success
320,3127.704,-158.59,-1204.61,measure,19,direction
322,3133.704,-158.59,-1204.61,measure,2,no_signal
324,3139.704,-158.59,-1204.61,measure,4,no_signal
326,3145.704,-158.59,-1204.61,measure,6,no_signal
328,3151.704,-158.59,-1204.61,measure,10,no_signal
330,3157.704,-158.59,-1204.61,measure,11,no_signal
332,3163.704,-158.59,-1204.61,measure,12,direction
334,3169.704,-158.59,-1204.61,measure,13,no_signal
336,3175.704,-158.59,-1204.61,measure,14,no_signal
338,3181.704,-158.59,-1204.61,measure,15,no_signal
340,3187.704,-158.59,-1204.61,measure,16,no_signal
342,3193.704,-158.59,-1204.61,measure,20,no_signal
345,3319.27,-759.84,-1248.19,clear,19,success
347,3528.165,211.52,-1540.79,measure,12,direction
349,3585.975,-22.04,-1663.97,clear,12,success
351,3947.452,435.88,58.59,clear,9,success
