seq,virtual_time_s,x_m,y_m,action,channel,result
205,1760.955,158.59,1204.61,measure,6,no_signal
207,1766.955,158.59,1204.61,measure,8,no_signal
209,1772.955,158.59,1204.61,measure,9,no_signal
211,1778.955,158.59,1204.61,measure,10,no_signal
213,1784.955,158.59,1204.61,measure,14,no_signal
215,1790.955,158.59,1204.61,measure,17,no_signal
217,1796.955,158.59,1204.61,measure,18,no_signal
219,1802.955,158.59,1204.61,measure,19,no_signal
221,1934.518,-214.53,693.49,clear,15,success
223,2109.801,-969.66,1075.85,measure,7,direction
225,2115.801,-969.66,1075.85,measure,12,direction
227,2121.801,-969.66,1075.85,measure,20,direction
229,2127.801,-969.66,1075.85,measure,1,no_signal
231,2133.801,-969.66,1075.85,measure,2,no_signal
233,2139.801,-969.66,1075.85,measure,3,no_signal
235,2145.801,-969.66,1075.85,measure,6,no_signal
237,2151.801,-969.66,1075.85,measure,8,no_signal
239,2157.801,-969.66,1075.85,measure,9,no_signal
241,2163.801,-969.66,1075.85,measure,10,no_signal
243,2169.801,-969.66,1075.85,measure,14,no_signal
245,2175.801,-969.66,1075.85,measure,17,no_signal
247,2181.801,-969.66,1075.85,measure,18,no_signal
249,2187.801,-969.66,1075.85,measure,19,no_signal
251,2253.436,-857.15,794.32,clear,7,success
253,2283.427,-963.92,739.65,measure,12,direction
255,2289.427,-963.92,739.65,measure,20,direction
257,2295.427,-963.92,739.65,measure,1,no_signal
259,2301.427,-963.92,739.65,measure,2,no_signal
261,2307.427,-963.92,739.65,measure,3,no_signal
263,2313.427,-963.92,739.65,measure,6,direction
265,2319.427,-963.92,739.65,measure,8,no_signal
267,2325.427,-963.92,739.65,measure,9,no_signal
269,2331.427,-963.92,739.65,measure,10,no_signal
271,2337.427,-963.92,739.65,measure,14,no_signal
273,2343.427,-963.92,739.65,measure,17,no_signal
275,2349.427,-963.92,739.65,measure,18,no_signal
277,2355.427,-963.92,739.65,measure,19,no_signal
280,2440.798,-765.96,389.93,clear,12,success
282,2482.593,-638.33,257.44,clear,20,success
284,2613.036,-983.65,-260.16,measure,4,direction
286,2619.036,-983.65,-260.16,measure,6,direction
288,2625.036,-983.65,-260.16,measure,16,direction
290,2631.036,-983.65,-260.16,measure,1,no_signal
292,2637.036,-983.65,-260.16,measure,2,no_signal
294,2643.036,-983.65,-260.16,measure,3,no_signal
296,2649.036,-983.65,-260.16,measure,8,no_signal
298,2655.036,-983.65,-260.16,measure,9,no_signal
300,2661.036,-983.65,-260.16,measure,10,no_signal
302,2667.036,-983.65,-260.16,measure,14,no_signal
304,2673.036,-983.65,-260.16,measure,17,no_signal
306,2679.036,-983.65,-260.16,measure,18,no_signal
308,2685.036,-983.65,-260.16,measure,19,no_signal
310,2836.467,-1715.29,-287.46,clear,6,success
312,2930.582,-1642.88,-722.05,measure,4,direction
314,2995.713,-1382.5,-872.37,clear,4,success
316,3098.372,-1122.51,-464.96,measure,16,direction
318,3374.495,-313.22,-1552.5,clear,16,success
320,3491.428,166.15,-1263.67,clear,11,success
