seq,virtual_time_s,x_m,y_m,action,channel,result
152,1314.426,-1299.24,645.05,measure,8,direction
154,1320.426,-1299.24,645.05,measure,6,no_signal
156,1326.426,-1299.24,645.05,measure,1,no_signal
158,1332.426,-1299.24,645.05,measure,4,no_signal
160,1338.426,-1299.24,645.05,measure,10,no_signal
162,1344.426,-1299.24,645.05,measure,11,no_signal
164,1350.426,-1299.24,645.05,measure,15,direction
166,1356.426,-1299.24,645.05,measure,17,no_signal
168,1362.426,-1299.24,645.05,measure,19,no_signal
171,1428.298,-1000.48,586.92,clear,13,success
173,1465.706,-963.92,739.65,measure,16,direction
175,1471.706,-963.92,739.65,measure,8,direction
177,1477.706,-963.92,739.65,measure,6,direction
179,1483.706,-963.92,739.65,measure,12,direction
181,1489.706,-963.92,739.65,measure,1,no_signal
183,1495.706,-963.92,739.65,measure,4,no_signal
185,1501.706,-963.92,739.65,measure,10,no_signal
187,1507.706,-963.92,739.65,measure,11,no_signal
189,1513.706,-963.92,739.65,measure,17,no_signal
191,1519.706,-963.92,739.65,measure,19,no_signal
193,1545.378,-946.24,841.48,clear,16,success
195,1705.695,-1031.0,1608.4,measure,15,direction
197,1711.695,-1031.0,1608.4,measure,8,direction
199,1717.695,-1031.0,1608.4,measure,1,no_signal
201,1723.695,-1031.0,1608.4,measure,4,no_signal
203,1729.695,-1031.0,1608.4,measure,10,no_signal
205,1735.695,-1031.0,1608.4,measure,11,no_signal
207,1741.695,-1031.0,1608.4,measure,17,no_signal
209,1747.695,-1031.0,1608.4,measure,19,no_signal
211,1898.261,-342.18,1827.51,measure,15,direction
213,1904.261,-342.18,1827.51,measure,8,direction
215,1910.261,-342.18,1827.51,measure,1,no_signal
217,1916.261,-342.18,1827.51,measure,4,no_signal
219,1922.261,-342.18,1827.51,measure,10,no_signal
221,1928.261,-342.18,1827.51,measure,11,no_signal
223,1934.261,-342.18,1827.51,measure,17,no_signal
225,1940.261,-342.18,1827.51,measure,19,no_signal
227,2004.354,-426.01,1544.18,clear,15,success
229,2103.98,-268.84,1097.92,clear,8,success
231,2306.753,-528.02,143.63,clear,5,success
233,2383.169,-184.06,47.73,clear,9,success
235,2420.831,-188.39,210.98,clear,3,success
237,2499.581,-167.58,579.14,clear,12,success
239,2547.138,44.14,600.39,clear,6,success
241,2676.129,158.59,1204.61,measure,14,direction
243,2682.129,158.59,1204.61,measure,18,no_signal
245,2688.129,158.59,1204.61,measure,1,no_signal
247,2694.129,158.59,1204.61,measure,4,no_signal
249,2700.129,158.59,1204.61,measure,10,no_signal
251,2706.129,158.59,1204.61,measure,11,no_signal
253,2712.129,158.59,1204.61,measure,17,no_signal
255,2718.129,158.59,1204.61,measure,19,no_signal
257,2913.07,929.77,658.94,measure,18,direction
259,2919.07,929.77,658.94,measure,1,no_signal
261,2925.07,929.77,658.94,measure,4,no_signal
263,2931.07,929.77,658.94,measure,10,no_signal
265,2937.07,929.77,658.94,measure,11,direction
267,2943.07,929.77,658.94,measure,17,no_signal
269,2949.07,929.77,658.94,measure,19,no_signal
272,3095.07,1607.66,833.5,measure,11,direction
274,3101.07,1607.66,833.5,measure,1,no_signal
276,3107.07,1607.66,833.5,measure,4,no_signal
278,3113.07,1607.66,833.5,measure,10,no_signal
280,3119.07,1607.66,833.5,measure,17,no_signal
282,3125.07,1607.66,833.5,measure,19,no_signal
284,3237.116,1126.08,599.94,clear,11,success
286,3268.761,1205.66,499.4,measure,1,no_signal
288,3274.761,1205.66,499.4,measure,4,no_signal
290,3280.761,1205.66,499.4,measure,10,no_signal
292,3286.761,1205.66,499.4,measure,17,no_signal
294,3292.761,1205.66,499.4,measure,19,no_signal
296,3405.919,932.92,32.42,clear,18,success
298,3486.972,1033.16,-329.21,measure,20,direction
300,3492.972,1033.16,-329.21,measure,1,no_signal
302,3498.972,1033.16,-329.21,measure,4,no_signal
304,3504.972,1033.16,-329.21,measure,10,no_signal
306,3510.972,1033.16,-329.21,measure,17,no_signal
308,3516.972,1033.16,-329.21,measure,19,no_signal
310,3616.018,1035.33,-794.43,measure,20,direction
312,3680.871,855.75,-555.04,clear,20,success
314,3861.535,197.73,26.73,clear,14,success
