seq,virtual_time_s,channel,action,result,x_m,y_m,svd_deg
197,1685.807,12,measure,no_signal,-471.58,1490.68,
199,1691.807,13,measure,no_signal,-471.58,1490.68,
201,1697.807,14,measure,no_signal,-471.58,1490.68,
203,1703.807,15,measure,no_signal,-471.58,1490.68,
205,1709.807,16,measure,no_signal,-471.58,1490.68,
207,1715.807,18,measure,no_signal,-471.58,1490.68,
209,1721.807,20,measure,no_signal,-471.58,1490.68,
211,1786.772,7,clear,success,-226.28,1318.29,
213,1855.053,3,clear,success,48.74,1161.82,
215,1884.631,9,measure,direction,158.59,1204.61,283.72
217,1890.631,2,measure,no_signal,158.59,1204.61,
219,1896.631,4,measure,no_signal,158.59,1204.61,
221,1902.631,6,measure,no_signal,158.59,1204.61,
223,1908.631,10,measure,no_signal,158.59,1204.61,
225,1914.631,11,measure,no_signal,158.59,1204.61,
227,1920.631,12,measure,no_signal,158.59,1204.61,
229,1926.631,13,measure,no_signal,158.59,1204.61,
231,1932.631,14,measure,no_signal,158.59,1204.61,
233,1938.631,15,measure,no_signal,158.59,1204.61,
235,1944.631,16,measure,no_signal,158.59,1204.61,
237,1950.631,18,measure,no_signal,158.59,1204.61,
239,1956.631,20,measure,no_signal,158.59,1204.61,
241,2215.113,2,measure,no_signal,1205.66,499.4,
243,2221.113,4,measure,no_signal,1205.66,499.4,
245,2227.113,6,measure,no_signal,1205.66,499.4,
247,2233.113,10,measure,no_signal,1205.66,499.4,
249,2239.113,11,measure,no_signal,1205.66,499.4,
251,2245.113,12,measure,no_signal,1205.66,499.4,
253,2251.113,13,measure,no_signal,1205.66,499.4,
255,2257.113,14,measure,no_signal,1205.66,499.4,
257,2263.113,15,measure,no_signal,1205.66,499.4,
259,2269.113,16,measure,no_signal,1205.66,499.4,
261,2275.113,18,measure,direction,1205.66,499.4,281.33
263,2281.113,20,measure,no_signal,1205.66,499.4,
265,2287.113,5,measure,no_signal,1205.66,499.4,
268,2493.113,18,measure,direction,1928.99,-191.1,212.4
270,2499.113,2,measure,no_signal,1928.99,-191.1,
272,2505.113,4,measure,no_signal,1928.99,-191.1,
274,2511.113,6,measure,no_signal,1928.99,-191.1,
276,2517.113,10,measure,no_signal,1928.99,-191.1,
278,2523.113,11,measure,no_signal,1928.99,-191.1,
280,2529.113,12,measure,no_signal,1928.99,-191.1,
282,2535.113,13,measure,no_signal,1928.99,-191.1,
284,2541.113,14,measure,no_signal,1928.99,-191.1,
286,2547.113,15,measure,no_signal,1928.99,-191.1,
288,2553.113,16,measure,no_signal,1928.99,-191.1,
290,2559.113,20,measure,no_signal,1928.99,-191.1,
292,2686.758,18,clear,success,1412.23,-521.25,
294,2785.856,5,measure,direction,1035.33,-794.43,219.46
296,2791.856,2,measure,no_signal,1035.33,-794.43,
298,2797.856,4,measure,no_signal,1035.33,-794.43,
300,2803.856,6,measure,no_signal,1035.33,-794.43,
302,2809.856,10,measure,no_signal,1035.33,-794.43,
304,2815.856,11,measure,no_signal,1035.33,-794.43,
306,2821.856,12,measure,no_signal,1035.33,-794.43,
308,2827.856,13,measure,no_signal,1035.33,-794.43,
310,2833.856,14,measure,no_signal,1035.33,-794.43,
312,2839.856,15,measure,no_signal,1035.33,-794.43,
314,2845.856,16,measure,no_signal,1035.33,-794.43,
316,2851.856,20,measure,no_signal,1035.33,-794.43,
318,2970.761,5,clear,success,594.49,-1155.03,
320,3127.704,19,measure,direction,-158.59,-1204.61,185.02
322,3133.704,2,measure,no_signal,-158.59,-1204.61,
324,3139.704,4,measure,no_signal,-158.59,-1204.61,
326,3145.704,6,measure,no_signal,-158.59,-1204.61,
328,3151.704,10,measure,no_signal,-158.59,-1204.61,
330,3157.704,11,measure,no_signal,-158.59,-1204.61,
332,3163.704,12,measure,direction,-158.59,-1204.61,287.75
334,3169.704,13,measure,no_signal,-158.59,-1204.61,
336,3175.704,14,measure,no_signal,-158.59,-1204.61,
338,3181.704,15,measure,no_signal,-158.59,-1204.61,
340,3187.704,16,measure,no_signal,-158.59,-1204.61,
342,3193.704,20,measure,no_signal,-158.59,-1204.61,
345,3319.27,19,clear,success,-759.84,-1248.19,
347,3528.165,12,measure,direction,211.52,-1540.79,207.21
349,3585.975,12,clear,success,-22.04,-1663.97,
351,3947.452,9,clear,success,435.88,58.59,
